,真实�?RF_预测,RF_误差�?,
27,50.1475,40.9075125,18.43%
6,40.55199,34.98443677,13.73%
9,33.62768,31.57255508,6.11%
19,39.49294,34.69919272,12.14%
29,28.32239,29.03927888,2.53%
17,37.11018,34.0853056,8.15%
21,35.47929,34.00870801,4.14%
13,45.63032,40.22969438,11.84%
