,真实值,RF_预测,RF_误差率
0,40.72441,37.238053828759924,8.56%
32,44.53334,40.39725786153638,9.29%
22,45.63032,41.053503005000174,10.03%
4,39.24668,36.380592039504485,7.30%
8,28.73784,32.95039831540473,14.66%
11,27.83988,31.951609551258237,14.77%
31,28.2388,32.724318421133184,15.88%
14,24.27029,31.43003388423631,29.50%
15,23.16722,26.45217689940444,14.18%
35,42.52564,39.96678157368604,6.02%
7,23.90128,29.104703383092517,21.77%
0,30.07051,35.05336095141919,16.57%
30,36.76329,35.75732368732901,2.74%
20,42.03792,38.207726954906114,9.11%
23,22.4931,26.21790375357111,16.56%
2,43.24102,40.17619354134103,7.09%
33,42.70785,40.17619354134103,5.93%
10,39.24668,36.42841932117056,7.18%
1,42.44939,39.085036418565274,7.93%
26,41.01561,37.48805718436413,8.60%
18,29.49227,34.003839877786355,15.30%
