,真实值,LGBM_预测,LGBM_误差率
0,30.07051,30.070510864257816,0.00%
30,36.76329,36.76329040527343,0.00%
15,23.16722,23.16721916198731,0.00%
2,43.24102,43.24102020263671,0.00%
4,39.24668,39.2466812133789,0.00%
32,44.53334,44.533340454101555,0.00%
26,41.01561,41.01560974121093,0.00%
7,23.90128,23.901279449462894,0.00%
22,45.63032,45.63032150268554,0.00%
0,40.72441,40.72441101074218,0.00%
14,24.27029,24.270290374755863,0.00%
8,28.73784,28.737840652465824,0.00%
10,39.24668,39.2466812133789,0.00%
11,27.83988,27.839879989624027,0.00%
35,42.52564,42.52563858032226,0.00%
20,42.03792,42.03792190551757,0.00%
33,42.70785,42.7078514099121,0.00%
18,29.49227,29.492269515991214,0.00%
31,28.2388,28.23880004882813,0.00%
23,22.4931,22.493099212646488,0.00%
1,42.44939,42.449390411376946,0.00%
