,真实�?LGBM_预测,LGBM_误差�?,
21,35.47929,36.35194228,2.46%
17,37.11018,36.68502664,1.15%
9,33.62768,35.75743813,6.33%
19,39.49294,40.97419711,3.75%
29,28.32239,28.23904068,0.29%
27,50.1475,43.49274877,13.27%
6,40.55199,42.25432634,4.20%
13,45.63032,42.53960544,6.77%
