,真实�?RF_预测,RF_误差�?,,,,,
37,43.17363,27.33662337,36.68%,,0.079158333,,7.915833333
48,14.62944,15.71024901,7.39%,,,,
9,17.44639,16.81177629,3.64%,,,,
50,26.97003,24.186781,10.32%,,,,
58,21.01172,20.65994241,1.67%,,,,
21,18.85139,20.33861488,7.89%,,,,
17,19.66017,20.65994241,5.09%,,,,
27,26.83533,24.186781,9.87%,,,,
19,23.45372,24.186781,3.13%,,,,
6,23.54436,24.186781,2.73%,,,,
13,25.88094,24.186781,6.55%,,,,
41,24.17886,24.186781,0.03%,,,,
