,真实�?RF_预测,RF_误差�?,,,,,
45,26.42964,25.78018811,2.46%,,0.062208333,,6.220833333
4,21.42491,16.88197557,21.20%,,,,
56,25.53735,24.63207281,3.54%,,,,
53,22.91861,24.1537657,5.39%,,,,
44,22.1623,24.1537657,8.99%,,,,
0,15.07441,16.38783031,8.71%,,,,
11,24.74482,24.1537657,2.39%,,,,
49,28.01895,25.78018811,7.99%,,,,
35,22.1623,21.39733539,3.45%,,,,
47,23.94005,24.1537657,0.89%,,,,
12,22.4405,24.1537657,7.63%,,,,
32,23.67818,24.1537657,2.01%,,,,
