,真实�?融合模型_预测,融合模型_误差�?,,,
44,22.1623,21.21183408,4.29%,,0.058375
11,24.74482,25.3206723,2.33%,,
0,15.07441,16.38875961,8.72%,,
35,22.1623,17.84406089,19.48%,,
49,28.01895,28.26718762,0.89%,,
4,21.42491,16.61038382,22.47%,,
12,22.4405,22.30365299,0.61%,,
56,25.53735,26.52598937,3.87%,,
53,22.91861,23.71330887,3.47%,,
47,23.94005,24.16647792,0.95%,,
32,23.67818,23.76227103,0.36%,,
45,26.42964,27.11913656,2.61%,,
