,真实�?融合模型_预测,融合模型_误差�?,,,
19,23.45372,22.5075823,4.03%,,0.062391667
27,26.83533,25.65081559,4.41%,,
48,14.62944,17.84406089,21.97%,,
21,18.85139,17.8440609,5.34%,,
13,25.88094,24.55937465,5.11%,,
37,43.17363,36.77542114,14.82%,,
9,17.44639,17.84406089,2.28%,,
6,23.54436,22.53378598,4.29%,,
17,19.66017,18.81670401,4.29%,,
50,26.97003,28.28853609,4.89%,,
58,21.01172,20.6138669,1.89%,,
41,24.17886,23.80467331,1.55%,,
