,真实�?LGBM_预测,LGBM_误差�?,,,,,
11,24.74482,25.3206723,2.33%,,0.058375,,5.8375
45,26.42964,27.11913656,2.61%,,,,
0,15.07441,16.38875961,8.72%,,,,
56,25.53735,26.52598937,3.87%,,,,
53,22.91861,23.71330887,3.47%,,,,
35,22.1623,17.84406089,19.48%,,,,
12,22.4405,22.30365299,0.61%,,,,
32,23.67818,23.76227103,0.36%,,,,
4,21.42491,16.61038382,22.47%,,,,
47,23.94005,24.16647792,0.95%,,,,
44,22.1623,21.21183408,4.29%,,,,
49,28.01895,28.26718762,0.89%,,,,
