原始索引,真实值,预测值
34,1,1
42,1,1
28,0,1
7,1,1
53,1,1
40,1,1
44,1,1
46,1,1
19,1,1
56,1,1
39,1,1
25,0,1
38,0,1
13,0,1
50,1,1
3,1,1
17,1,1
8,1,1
55,1,1
6,0,1
36,1,1
64,1,1
69,1,1
68,1,1
15,1,1
27,1,1
41,1,1
26,1,1
48,1,1
24,1,1
59,1,1
63,1,1
11,1,1
32,1,1
66,1,1
61,1,1
37,1,1
29,1,1
43,0,1
65,1,1
1,1,1
52,1,1
21,0,1
2,1,1
23,0,1
20,1,1
60,1,1
14,1,1
51,1,1
