,真实�?RF_预测,RF_误差�?,
19,11.49754109,11.94657132,3.91%
0,9.72616376,11.26129989,15.78%
51,10.46061364,11.62044001,11.09%
61,4.172503437,5.640433659,35.18%
59,14.53508812,11.94657132,17.81%
42,8.771118038,9.394694189,7.11%
22,11.34438641,11.94657132,5.31%
65,9.599096959,11.09924624,15.63%
20,10.95907738,11.94657132,9.01%
1,11.27474085,11.94657132,5.96%
28,7.882255263,9.232640545,17.13%
50,15.76545168,11.94657132,24.22%
13,15.17364778,11.94657132,21.27%
36,5.347840941,9.232640545,72.64%
