FPR,TPR
0.0,0.0
0.0,0.07692307692307693
0.0,0.15384615384615385
0.25,0.38461538461538464
0.25,0.5384615384615384
0.375,0.6923076923076923
0.375,0.8461538461538461
0.5,0.9230769230769231
0.75,0.9230769230769231
0.75,1.0
1.0,1.0
