原始索引,真实值,预测值
34,1,0
42,1,1
28,0,1
7,0,0
53,0,0
40,0,1
44,1,0
46,1,1
19,1,1
56,0,1
39,1,1
25,0,0
38,1,1
13,0,0
50,0,0
3,1,0
17,0,0
8,0,0
55,0,1
6,0,0
36,1,1
64,0,0
69,0,0
68,0,0
15,1,1
27,1,1
41,1,1
26,1,0
48,0,1
24,0,0
59,1,0
63,0,0
11,0,1
32,1,1
66,0,1
61,1,0
37,0,0
29,0,0
43,0,0
65,0,0
1,1,1
52,1,1
21,1,1
2,1,1
23,0,1
20,1,1
60,0,0
14,1,1
51,1,1
