Feature,Mean Absolute SHAP Value
1363,7.375664673729868
1458,6.4514282534592615
530,3.4245589943306256
720,1.8662680441226471
881,1.4624968734270527
1741,1.4577605055278995
1080,1.4319519090597461
1233,1.3623208335615313
2852,1.2731062133444921
2923,1.2507471794290106
1020,1.186536396047422
3007,1.17511591148153
3318,1.0636348032483118
1157,0.9311047483456352
