,真实值,RF_预测,RF_误差率
12,3.25059,5.886330181125413,81.08%
18,4.84304,6.614911948611097,36.59%
16,3.84893,5.910111551495784,53.55%
44,4.84304,6.284566533507683,29.76%
51,5.45613,6.614911948611097,21.24%
36,9.50518,11.627639537715236,22.33%
38,18.46381,16.7846688293607,9.09%
2,3.77105,5.910111551495784,56.72%
0,14.64994,11.627639537715236,20.63%
26,8.1107,6.614911948611097,18.44%
14,6.74906,6.614911948611097,1.99%
33,3.61989,5.910111551495784,63.27%
52,5.7626,6.614911948611097,14.79%
32,3.46218,5.910111551495784,70.70%
5,4.60367,6.284566533507683,36.51%
48,17.29841,16.442812188129107,4.95%
30,4.66581,6.284566533507683,34.69%
53,3.97199,5.910111551495784,48.79%
23,8.4085,6.614911948611097,21.33%
43,8.54906,6.614911948611097,22.62%
28,10.47345,11.627639537715236,11.02%
3,4.76972,6.284566533507683,31.76%
57,6.64901,6.614911948611097,0.51%
39,6.82893,6.614911948611097,3.13%
34,22.3001,17.180707551582923,22.96%
40,5.7626,6.614911948611097,14.79%
10,9.05749,6.614911948611097,26.97%
35,5.48253,6.614911948611097,20.65%
7,4.30058,6.284566533507683,46.13%
25,8.20128,6.614911948611097,19.34%
31,9.14582,6.8020077304773805,25.63%
1,16.74002,16.046773465906885,4.14%
54,9.16807,8.24321172983623,10.09%
45,13.93681,11.627639537715236,16.57%
42,9.48053,9.021495512093463,4.84%
20,16.57815,12.338491295290995,25.57%
