,真实�?RF_预测,RF_误差�?,,,,,
56,6.07832,6.223854526,2.39%,,0.143007692,,14.30076923
15,6.87584,6.223854526,9.48%,,,,
58,8.20142,11.21200857,36.71%,,,,
4,6.58724,6.223854526,5.52%,,,,
24,7.02182,6.621009328,5.71%,,,,
49,5.43376,6.223854526,14.54%,,,,
0,5.84136,6.223854526,6.55%,,,,
55,5.68354,6.223854526,9.51%,,,,
29,8.8253,11.21200857,27.04%,,,,
47,6.62766,6.223854526,6.09%,,,,
46,11.37725,15.45167841,35.81%,,,,
8,9.67668,11.21200857,15.87%,,,,
11,6.96898,6.223854526,10.69%,,,,
