,真实�?融合模型_预测,融合模型_误差�?,,,
49,5.43376,4.641727361,14.58%,,0.070439757
55,5.68354,5.846603037,2.87%,,
0,5.84136,5.928527701,1.49%,,
56,6.07832,5.773671074,5.01%,,
4,6.58724,6.53963659,0.72%,,
47,6.62766,7.063366678,6.57%,,
15,6.87584,7.138860766,3.83%,,
11,6.96898,8.226599786,18.05%,,
24,7.02182,7.654129944,9.00%,,
58,8.20142,8.800494605,7.30%,,
29,8.8253,8.38670727,4.97%,,
8,9.67668,9.958112914,2.91%,,
46,11.37725,13.00040543,14.27%,,
