,真实�?融合模型_预测,融合模型_误差�?,,,
37,16.74002,16.74002075,0.00%,,0.035438462
27,9.77886,9.533436823,2.51%,,
50,14.65478,13.91027144,5.08%,,
59,5.51485,4.351049438,21.10%,,
19,7.41554,7.176059338,3.23%,,
9,5.67635,6.078164829,7.08%,,
17,6.6579,6.632933268,0.37%,,
60,6.80996,6.81263061,0.04%,,
22,3.89377,3.79197583,2.61%,,
13,9.07071,9.123079364,0.58%,,
21,6.58808,6.632931526,0.68%,,
41,8.20142,8.200800745,0.01%,,
6,7.68582,7.899515904,2.78%,,
