,真实�?RF_预测,RF_误差�?,,,,,
22,3.89377,6.261462875,60.81%,,0.179715385,,17.97153846
17,6.6579,6.440688922,3.26%,,,,
9,5.67635,6.440688922,13.47%,,,,
21,6.58808,6.440688922,2.24%,,,,
60,6.80996,6.440688922,5.42%,,,,
13,9.07071,7.015916786,22.65%,,,,
19,7.41554,6.440688922,13.15%,,,,
27,9.77886,7.015916786,28.25%,,,,
41,8.20142,6.660165103,18.79%,,,,
37,16.74002,16.92518918,1.11%,,,,
50,14.65478,9.487980572,35.26%,,,,
59,5.51485,6.261462875,13.54%,,,,
6,7.68582,6.480939055,15.68%,,,,
