,真实�?LGBM_预测,LGBM_误差�?,,,,,
8,9.67668,11.95811291,23.58%,,0.163484615,,16.34846154
47,6.62766,7.063366678,6.57%,,,,
11,6.96898,8.226599786,18.05%,,,,
46,11.37725,13.00040543,14.27%,,,,
15,6.87584,7.138860766,3.83%,,,,
49,5.43376,3.641727361,32.98%,,,,
56,6.07832,5.773671074,5.01%,,,,
4,6.58724,6.53963659,0.72%,,,,
29,8.8253,11.38670727,29.02%,,,,
24,7.02182,8.654129944,23.25%,,,,
55,5.68354,3.846603037,32.32%,,,,
58,8.20142,8.800494605,7.30%,,,,
0,5.84136,4.928527701,15.63%,,,,
