,真实�?RF_预测,RF_误差�?,,,,,
37,27.48965,22.55501595,17.95%,,0.051222222,,5.122222222
6,23.1495,22.51002579,2.76%,,,,
27,24.10355,22.55501595,6.42%,,,,
21,20.91181,20.62770404,1.36%,,,,
19,21.50667,21.54474233,0.18%,,,,
9,19.9044,20.37880028,2.38%,,,,
17,21.33301,21.54474233,0.99%,,,,
13,23.50125,22.55501595,4.03%,,,,
34,18.52058,20.37880028,10.03%,,,,
