,真实�?LGBM_预测,LGBM_误差�?,
17,21.33301,22.12716521,3.72%
34,18.52058,21.30853985,15.05%
6,23.1495,22.4186645,3.16%
27,24.10355,23.78864642,1.31%
19,21.50667,22.19154399,3.18%
37,27.48965,24.01805749,12.63%
21,20.91181,21.78226668,4.16%
13,23.50125,23.16059378,1.45%
9,19.9044,21.69297498,8.99%
