,真实�?LGBM_预测,LGBM_误差�?,,,,,
35,17.23275,19.87868474,15.35%,,0.095644444,,9.564444444
11,23.85802,23.73316504,0.52%,,,,
36,14.38051,15.75256263,9.54%,,,,
24,17.12344,19.58181498,14.36%,,,,
3,23.53749,21.65618816,7.99%,,,,
38,21.32868,20.95480587,1.75%,,,,
23,14.84875,18.81079449,26.68%,,,,
33,19.69376,20.72333401,5.23%,,,,
7,38.90993,37.09713082,4.66%,,,,
