,真实�?融合模型_预测,融合模型_误差�?,,,
36,14.38051,15.75256263,9.54%,,0.066223743
23,18.84875,18.81079449,0.20%,,
24,17.12344,19.58181498,14.36%,,
35,17.23275,19.87868474,15.35%,,
33,19.69376,20.72333401,5.23%,,
38,21.32868,20.95480587,1.75%,,
3,23.53749,21.65618816,7.99%,,
11,23.85802,23.73316504,0.52%,,
7,38.90993,37.09713082,4.66%,,
