,真实值,RF_预测,RF_误差率
26,14.76381,20.109877188213243,36.21%
1,28.67359,26.632287070488335,7.12%
8,19.42115,20.109877188213243,3.55%
10,23.1495,21.272486628867377,8.11%
40,22.59027,21.272486628867377,5.83%
28,22.13042,21.075877417481067,4.77%
30,16.5708,20.109877188213243,21.36%
0,21.96857,21.075877417481067,4.06%
2,13.55606,19.67053700193873,45.11%
15,19.87129,20.109877188213243,1.20%
39,18.86605,20.109877188213243,6.59%
41,23.97442,26.632287070488335,11.09%
16,18.35075,20.109877188213243,9.59%
5,14.01407,20.109877188213243,43.50%
14,19.03096,20.109877188213243,5.67%
25,21.93312,20.636537231206553,5.91%
31,23.24128,21.272486628867377,8.47%
4,22.80353,21.272486628867377,6.71%
20,27.48965,26.632287070488335,3.12%
22,43.61925,42.26625373099416,3.10%
0,23.43511,22.431200533602073,4.28%
12,18.86605,20.109877188213243,6.59%
18,18.10443,20.109877188213243,11.08%
32,38.61243,27.651495339494183,28.39%
29,20.95214,20.109877188213243,4.02%
